ward_number,ward_name,census_tree_count,year,total_area_m2,trees_area_m2,built_area_m2,grass_area_m2,bare_area_m2,water_area_m2,trees_pct,built_pct,grass_pct,bare_pct,water_pct
46,KONDHWA-YEWALEWADI,18297,2021,4346306.111262485,0.0,4008800.4953089403,0.0,0.0,2725.505723960727,0.0,92.23465611225646,0.0,0.0,0.0627085542110848
57,KONDHWA-YEWALEWADI,3364,2021,6028677.060265724,1403384.82205987,1154236.9894361598,0.0,165836.13400032188,61145.65459498985,23.278487270605495,19.14577572986278,0.0,2.7507881470932927,1.0142466412406366
58,KONDHWA-YEWALEWADI,1860,2021,4726554.48060139,260533.49049628753,3071848.7632589904,0.0,34004.093646958296,23213.254684448242,5.512122870170285,64.99129071433319,0.0,0.7194266729922837,0.491124238167983
59,KONDHWA-YEWALEWADI,766,2021,3300564.834569929,614072.1863358442,1390219.8509219869,0.0,0.0,0.0,18.60506359105832,42.12066481351624,0.0,0.0,0.0
24,WANAVADI-RAMTEKDI,10038,2021,5495422.740436962,421670.6644917208,3643122.50912443,0.0,0.0,0.0,7.673125151754788,66.29376266756051,0.0,0.0,0.0
27,WANAVADI-RAMTEKDI,2328,2021,2981427.2999395304,176131.19454240985,2610946.6444035517,0.0,0.0,0.0,5.907613261137783,87.57371492695822,0.0,0.0,0.0
25,WANAVADI-RAMTEKDI,2238,2021,6061260.208984203,1015279.33598923,4743094.920978969,1886.4320068359375,0.0,943.2155303955078,16.75030110874219,78.25262004011303,0.03112276889284187,0.0,0.015561376642392653
25,WANAVADI-RAMTEKDI,2238,2021,1.0881891405505624E7,1391371.8410169417,8647777.8557395,50927.992179870605,1603.400245666504,0.0,12.786121356743058,79.4694371914446,0.46800680398357875,0.014734573117089497,0.0
18,BHAVANI PETH,36204,2021,1099330.849866591,0.0,1099330.849866591,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
17,BHAVANI PETH,24550,2021,1041617.0425044637,0.0,1041617.0425044637,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
19,BHAVANI PETH,2470,2021,868875.305808842,0.0,868875.305808842,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
28,BIBVEWADI,7698,2021,4136375.2403185912,149222.93051904414,3755486.5318191177,0.0,0.0,282.9758605957031,3.607577210706607,90.79172738520364,0.0,0.0,0.006841155459916828
36,BIBVEWADI,32246,2021,3788432.2942636563,76499.28750879625,3652991.499755175,0.0,0.0,0.0,2.0192861206634056,96.42488544104214,0.0,0.0,0.0
37,BIBVEWADI,1347,2021,1309162.2625524506,7264.388427734375,1291520.155916403,0.0,0.0,0.0,0.5548883156447791,98.6524125281727,0.0,0.0,0.0
15,KASBA-VISHRAMBAGWADA,458,2021,2037740.6452412328,0.0,2000323.1470780622,0.0,0.0,37417.4981631709,0.0,98.16377524536539,0.0,0.0,1.8362247546346275
29,KASBA-VISHRAMBAGWADA,52685,2021,2719691.8385424125,151765.16904449463,2461539.7566487617,7357.231285095215,0.0,57165.18000425452,5.580234013785599,90.50803924785815,0.27051709244523225,0.0,2.1018991635056543
16,KASBA-VISHRAMBAGWADA,9963,2021,1049069.2507835536,0.0,993067.3782024609,0.0,0.0,56001.87258109299,0.0,94.66175635790825,0.0,0.0,5.338243642091787
